Hex Scale Pitch
00 -1 C
01 -1 C#
02 -1 D
03 -1 D#
04 -1 E
05 -1 F
06 -1 F#
07 -1 G
08 -1 G#
09 -1 A
0A -1 A#
0B -1 B
0C 0 C
0D 0 C#
0E 0 D
0F 0 D#
10 0 E
11 0 F
12 0 F#
13 0 G
14 0 G#
15 0 A
16 0 A#
17 0 B
18 1 C
19 1 C#
1A 1 D
1B 1 D#
1C 1 E
1D 1 F
1E 1 F#
1F 1 G
20 1 G#
21 1 A
22 1 A#
23 1 B
24 2 C
25 2 C#
26 2 D
27 2 D#
28 2 E
29 2 F
2A 2 F#
2B 2 G
2C 2 G#
2D 2 A
2E 2 A#
2F 2 B
30 3 C
31 3 C#
32 3 D
33 3 D#
34 3 E
35 3 F
36 3 F#
37 3 G
38 3 G#
39 3 A
3A 3 A#
3B 3 B
3C 4 C
3D 4 C#
3E 4 D
3F 4 D#
40 4 E
41 4 F
42 4 F#
43 4 G
44 4 G#
45 4 A
46 4 A#
47 4 B
48 5 C
49 5 C#
4A 5 D
4B 5 D#
4C 5 E
4D 5 F
4E 5 F#
4F 5 G
50 5 G#
51 5 A
52 5 A#
53 5 B
54 6 C
55 6 C#
56 6 D
57 6 D#
58 6 E
59 6 F
5A 6 F#
5B 6 G
5C 6 G#
5D 6 A
5E 6 A#
5F 6 B
60 7 C
61 7 C#
62 7 D
63 7 D#
64 7 E
65 7 F
66 7 F#
67 7 G
68 7 G#
69 7 A
6A 7 A#
6B 7 B
6C 8 C
6D 8 C#
6E 8 D
6F 8 D#
70 8 E
71 8 F
72 8 F#
73 8 G
74 8 G#
75 8 A
76 8 A#
77 8 B
78 9 C
79 9 C#
7A 9 D
7B 9 D#
7C 9 E
7D 9 F
7E 9 F#
7F 9 G
